FirmaID,UrunTID,Miktar,AlimSayisi
9782,118791,550,1
7094,118995,1000,1
4775,119016,8300,4
4775,119017,1000,1
4731,119073,1000,1
6372,119117,500,1
4433,119121,1050,1
2905,119211,2400,1
6567,119233,700,1
974,119240,4000,2
3331,119240,700,1
4433,119437,6500,1
3008,119451,4600,1
872,119474,1475,1
7989,119474,2900,1
974,119476,2907,2
3797,119476,500,1
6324,119476,1350,1
9151,119476,3000,1
9163,119476,600,1
3797,119483,500,1
5871,119500,1250,1
4586,119533,2885,1
8179,119535,1500,1
3008,119607,1680,1
5871,119607,10300,2
9975,119631,600,1
5871,119679,5400,4
9366,119681,1000,1
2537,119724,2700,2
8759,119874,1700,1
713,119924,2080,1
2027,120018,3390,2
7711,120063,1800,2
8666,120088,1600,1
5871,120207,780,1
9782,120262,1000,2
3797,120321,1000,2
8540,120321,5020,1
25,120333,28400,2
39,120333,27400,3
897,120333,55000,3
3082,120333,2000,4
6432,120333,61650,3
7749,120333,51365,3
7989,120333,2180,1
9163,120333,500,1
9829,120333,6300,8
6577,120334,500,1
974,120336,1500,1
2905,120336,5500,1
5871,120336,4250,1
5336,120383,1000,1
3797,120401,1200,2
3797,120404,1200,2
5336,120406,1000,1
9782,120655,800,1
3289,120746,15800,8
9151,120746,1000,1
8179,120760,1000,1
7711,120797,5300,6
3930,120843,3985,2
6684,120843,4038,4
10146,120843,600,1
4731,120876,1000,1
8759,120890,700,1
9572,120906,1250,2
974,120974,5331,3
5556,120974,1800,2
5336,121002,1500,1
7094,121068,2900,1
8759,121291,1300,1
9206,121291,1350,1
7452,121314,500,1
7452,121316,500,1
7452,121317,500,1
7452,121321,500,1
5815,121328,5700,7
5871,121336,7800,3
8179,121336,1200,1
974,121352,2560,2
3289,121352,2000,1
7452,121352,1000,1
7711,121352,2200,3
713,121403,1500,1
713,121523,1750,1
5684,121529,2000,2
2007,121581,4940,1
7711,121587,2600,4
2007,121588,7280,1
8666,121628,1950,1
7452,121779,500,1
7452,121802,500,1
713,121807,1000,1
6567,121876,750,1
6567,121880,700,1
6567,121887,1000,1
4775,121984,5800,1
7963,122003,600,1
3331,122050,750,1
